32930,1666,32,0,118,8166,691,115,0,101,6317,421,38,0,0,54524,1179,81,0,109,58319,1589,28,0,9,48524,1148,36,0,58,47210,1342,40,0,12,10980,912,29,0,6,72436,764,66,0,24,48140,1693,77,0,76
12750,2359,26,0,41,59640,1100,32,0,29,55080,306,77,0,19,78702,1401,87,0,15,70038,973,41,0,41,84224,1126,39,0,32,77589,1681,11,0,35,84629,1373,43,0,10,77885,1701,44,0,0,82838,1058,70,0,25
94714,1198,33,0,12,6934,1090,29,0,74,78422,1882,18,0,26,66838,698,77,0,13,91881,491,59,0,58,11090,1098,37,0,36,8737,296,26,0,13,40762,1967,26,0,45,80142,1309,29,0,52,86752,1483,46,0,0
47537,886,52,0,21,85929,1192,43,0,10,82919,533,39,0,45,62522,649,37,0,0,92820,1522,53,0,37,95907,1343,33,0,2,70696,621,35,0,42,83442,1310,32,0,30,9905,240,52,0,26,107754,1162,65,0,28
108251,898,61,0,43,76799,660,17,0,36,107494,996,29,0,40,51088,1301,57,0,0,82080,1568,31,0,1,110177,1010,30,0,1,8294,409,39,0,1,108320,2311,17,0,0,81373,787,46,0,1,114627,870,25,0,43
118644,404,37,0,4,119681,1794,34,0,35,121837,852,30,0,11,115456,2507,25,0,0,116492,815,58,0,34,97625,2588,48,0,21,88313,1170,67,0,11,8534,1193,49,0,30,105418,412,93,0,31,119969,855,70,0,12
9743,481,43,0,60,122215,953,69,0,6,99782,740,59,0,7,94172,1862,61,0,38,108866,1285,44,0,1,96715,442,92,0,36,37145,1391,53,0,39,68611,714,67,0,44,107952,1093,45,0,17,106365,1545,69,0,35
101718,1431,98,0,22,81392,737,44,0,37,101594,1070,50,0,40,117251,450,52,0,0,10661,1750,38,0,9,118070,1532,53,0,9,89416,851,61,0,7,100165,1979,47,0,4,56204,1447,51,0,33,76467,1053,49,0,35
53456,1007,59,0,0,52061,1055,64,0,15,89372,1424,30,0,10,88266,723,33,0,40,103539,1628,50,0,25,98619,2574,29,0,12,83877,1634,65,0,27,107547,463,24,0,29,12775,1064,21,0,35,67748,901,59,0,17
82258,2341,22,0,26,54260,1195,21,0,1,104122,540,53,0,1,89674,709,45,0,0,97166,1171,50,0,0,111717,1372,41,0,0,79958,1424,63,0,1,99576,1180,50,0,4,119166,913,47,0,19,93642,617,56,0,1
112854,1408,57,0,31,123803,1629,28,0,12,105603,896,56,0,10,96188,668,43,0,27,73265,1069,31,0,30,111167,1181,66,0,26,67806,485,47,0,1,78296,1403,16,0,24,115545,679,48,0,1,69397,1097,17,0,30
82759,696,49,0,15,52094,877,22,0,0,72137,1898,62,0,12,88286,1894,24,0,48,109127,1597,27,0,8,83447,656,76,0,18,38152,997,43,0,35,72879,1552,34,0,45,70752,368,25,0,4,86649,1890,37,0,47
94366,1299,124,0,38,37231,734,35,0,69,67436,581,48,0,47,109368,1720,47,0,82,54863,1347,43,0,77,74412,1409,48,0,68,9458,1370,75,0,62,32511,1039,24,0,0,88958,963,40,0,3,53365,805,51,0,42
32455,1122,41,0,76,104986,2157,89,0,32,113107,1253,90,0,55,58941,961,83,0,45,112889,521,66,0,8,121862,1216,63,0,40,102565,2103,38,0,0,117132,1357,30,0,9,109517,1816,43,0,39,98068,190,35,0,68
104256,719,90,0,8,110113,1690,23,0,22,61613,1474,60,0,30,37544,433,92,0,8,125114,1084,33,0,53,99102,1282,25,0,1,81245,1380,28,0,26,84572,1153,41,0,30,118516,606,102,0,13,113359,829,142,0,30
88283,2532,33,0,46,118154,1501,29,0,0,64645,1193,37,0,45,73300,480,23,0,2,33691,829,30,0,55,73425,1610,40,0,54,68059,2330,51,0,14,74421,733,47,0,10,55117,698,39,0,9,33832,2471,66,0,8
125367,724,25,0,33,81530,1319,36,0,50,85273,495,65,0,49,99557,201,119,0,3,122820,1568,36,0,30,88640,1528,43,0,34,99335,2241,35,0,32,92870,476,48,0,19,94830,1030,45,0,32,107350,648,38,0,0
78977,1160,45,0,21,126456,1763,29,0,32,104688,1704,25,0,20,94631,1172,66,0,11,50733,448,41,0,35,10942,1268,40,0,7,105762,1294,48,0,1,70188,930,55,0,34,126078,1740,50,0,0,114608,801,55,0,1
125001,822,58,0,23,101362,663,77,0,26,67370,1273,27,0,28,62440,785,30,0,10,62108,2066,38,0,28,82860,2366,48,0,13,72643,279,55,0,25,113400,699,30,0,0,119899,1244,27,0,6,75319,1183,26,0,11
62998,754,72,0,0,76017,2179,28,0,0,57530,1149,26,0,0,69614,860,59,0,1,51218,803,25,0,1,40038,2533,31,0,0,125857,982,61,0,0,53358,624,46,0,1,39230,1050,51,0,0,62827,820,36,0,0
121615,1717,75,0,15,91591,701,47,0,22,60299,2533,57,0,21,91175,1018,41,0,27,65013,1389,44,0,28,50743,892,17,0,23,64580,2452,43,0,5,83830,994,112,0,27,103842,1190,62,0,8,38698,1315,37,0,0
11226,535,41,0,26,81754,1381,40,0,11,95354,876,72,0,38,112137,1760,31,0,10,123138,986,44,0,36,110509,1882,38,0,0,118037,504,25,0,3,113671,1113,17,0,36,121632,886,47,0,6,32565,101,61,0,17
115211,712,26,0,59,112769,1177,26,0,69,118909,1460,53,0,37,82352,1349,43,0,29,50974,1573,32,0,42,107158,2146,40,0,0,77841,937,51,0,40,121924,1198,18,0,52,70983,148,62,0,53,54994,1523,23,0,63
94941,1049,70,0,0,93401,393,29,0,66,123249,1697,18,0,36,117470,833,67,0,51,125583,792,51,0,2,39947,1150,39,0,40,81746,815,28,0,40,112844,484,28,0,55,69859,709,45,0,58,94187,1588,33,0,0
125548,1231,17,0,3,40430,819,53,0,15,15883,679,50,0,1,90337,207,88,0,15,118816,1638,30,0,15,127220,299,70,0,15,109634,774,43,0,15,86581,1328,31,0,5,100726,1396,41,0,8,60661,982,47,0,0
81559,1131,45,0,0,56072,1620,26,0,38,77848,992,39,0,17,101103,865,76,0,10,104758,1983,31,0,27,53431,1113,29,0,34,74479,972,116,0,7,119490,2097,28,0,18,65456,447,41,0,27,125577,1669,20,0,16
121025,1822,37,0,0,84837,890,62,0,22,35287,832,56,0,12,65314,969,41,0,19,104737,1120,28,0,17,121160,2442,34,0,4,109477,899,59,0,0,99164,1272,31,0,3,87034,832,38,0,1,62457,807,42,0,0
71077,1092,45,0,4,123326,231,29,0,1,127286,916,22,0,9,57576,2071,35,0,55,123291,534,62,0,9,115532,353,95,0,31,74751,1255,43,0,44,11595,790,41,0,12,67918,983,69,0,41,61317,1308,37,0,22
116186,1173,20,0,28,41458,1030,53,0,12,126897,529,58,0,43,74640,1155,23,0,7,76721,2105,51,0,43,125333,1483,33,0,27,67542,1223,32,0,30,120597,1070,68,0,0,114123,805,29,0,30,39718,1332,36,0,29
72075,651,50,0,36,82637,957,44,0,0,107003,1886,34,0,1,117707,1482,51,0,0,15775,1797,72,0,0,96212,808,45,0,1,57175,2547,24,0,1,32081,1810,61,0,1,40386,1099,280,0,29,23757,508,30,0,1
76924,1517,70,0,16,47737,858,96,0,22,93126,1892,60,0,11,58613,1777,43,0,4,40342,156,51,0,22,111788,1942,23,0,0,95568,823,40,0,9,125045,1894,30,0,21,123255,568,17,0,14,68205,956,41,0,21
69603,819,41,0,19,105139,1832,53,0,4,75801,1626,23,0,17,114421,1229,54,0,1,80353,983,42,0,39,68144,1131,111,0,16,94282,1150,60,0,14,127253,1567,80,0,5,12464,1328,34,0,10,74332,890,102,0,4
95623,1727,27,0,0,14418,829,74,0,19,122467,2174,28,0,14,82329,1265,38,0,16,125113,539,34,0,5,89950,1424,58,0,3,60502,925,24,0,8,15982,1909,33,0,15,104416,857,52,0,9,71509,1178,23,0,10
53322,1134,37,0,17,5120,817,40,0,30,59611,1410,18,0,45,90045,1629,32,0,31,34017,1301,58,0,24,95752,502,89,0,0,10178,1292,93,0,33,98475,783,98,0,34,40748,1322,42,0,16,111497,1779,21,0,29
34164,851,18,0,44,64651,322,55,0,1,107479,1285,33,0,1,113624,2036,32,0,32,64115,1075,50,0,33,75038,698,71,0,1,123059,1421,43,0,1,97256,1692,36,0,3,84937,1246,28,0,2,99675,764,33,0,1
67264,1240,35,0,5,114700,699,269,0,5,51056,1119,21,0,4,14596,1054,43,0,0,104131,2194,54,0,4,54547,536,47,0,4,121670,1296,40,0,5,102841,1144,43,0,4,94538,2542,31,0,4,120987,555,49,0,5
88493,1649,35,0,15,125790,1188,19,0,26,110912,489,35,0,26,9253,948,56,0,0,128783,1388,47,0,35,127839,997,23,0,29,84484,1141,14,0,27,81001,1366,62,0,23,104160,615,27,0,8,60225,696,98,0,4
115324,1416,39,0,29,129376,666,75,0,1,107648,2143,39,0,39,97038,869,24,0,11,114338,666,20,0,25,41362,1743,54,0,4,68209,1994,24,0,38,105039,2548,42,0,10,130499,499,29,0,28,80460,196,41,0,22
120760,656,74,0,9,66506,1892,30,0,13,106493,2100,24,0,3,86533,418,52,0,24,72936,1076,100,0,13,95563,1381,32,0,5,49591,457,105,0,7,60416,1143,26,0,6,11124,1288,28,0,0,107332,1698,37,0,1
131447,2185,49,0,10,111254,1078,73,0,0,128772,325,50,0,26,129255,1295,69,0,18,113340,1312,27,0,11,49053,1282,28,0,4,8698,847,63,0,16,114362,1996,56,0,10,81684,490,69,0,2,110392,1773,84,0,4
123208,476,47,0,1,130537,2156,32,0,36,127622,1026,82,0,0,130992,1977,22,0,35,71581,2443,30,0,0,94260,488,65,0,1,99301,2456,60,0,35,124576,1728,61,0,1,109199,1361,62,0,1,128384,2144,40,0,0
126838,889,18,0,30,125982,199,45,0,27,88014,2118,24,0,46,131933,1448,53,0,33,6885,618,53,0,41,71544,1667,44,0,12,118181,1070,40,0,19,108515,1652,53,0,14,75834,593,82,0,3,91374,1017,33,0,0
114183,2287,46,0,36,122058,646,167,0,0,7945,706,43,0,4,107546,624,30,0,37,128540,1642,49,0,30,79856,1657,50,0,35,129940,1627,37,0,20,73780,1917,35,0,14,126545,659,26,0,36,116401,874,48,0,34
