summonerId1Team1,summonerElo1Team1,latence1Team1,duration1Team1,temps_exécution1Team1,summonerId2Team1,summonerElo2Team1,latence2Team1,duration2Team1,temps_exécution2Team1,summonerId3Team1,summonerElo3Team1,latence3Team1,duration3Team1,temps_exécution3Team1,summonerId4Team1,summonerElo4Team1,latence4Team1,duration4Team1,temps_exécution4Team1,summonerId5Team1,summonerElo5Team1,latence5Team1,duration5Team1,temps_exécution5Team1,summonerId1Team2,summonerElo1Team2,latence1Team2,duration1Team2,temps_exécution1Team2,summonerId2Team2,summonerElo2Team2,latence2Team2,duration2Team2,temps_exécution2Team2,summonerId3Team2,summonerElo3Team2,latence3Team2,duration3Team2,temps_exécution3Team2,summonerId4Team2,summonerElo4Team2,latence4Team2,duration4Team2,temps_exécution4Team2,summonerId5Team2,summonerElo5Team2,latence5Team2,duration5Team2,temps_exécution5Team2
178421,905,76,0,26,167232,2139,23,0,12,234026,673,43,0,17,261710,1641,76,0,22,170216,1070,33,0,22,214917,548,39,0,8,197408,612,29,0,24,195345,2105,42,0,0,145695,961,40,0,23,267470,984,57,0,2
224723,834,61,0,12,152654,1315,35,0,22,240819,1434,79,0,21,243292,395,48,0,21,190391,2156,38,0,2,155485,1353,16,0,6,154062,1065,49,0,15,211728,768,29,0,0,247086,899,40,0,13,265002,2119,49,0,0
158292,1077,74,0,15,150769,1852,49,0,23,266100,916,46,0,15,253095,1286,52,0,14,142242,424,52,0,19,151238,954,94,0,2,171092,1509,30,0,23,266849,907,59,0,21,172000,975,32,0,0,162007,1243,44,0,0
246317,1228,19,0,24,146779,2098,43,0,0,202592,725,48,0,20,214475,1768,33,0,12,192319,1308,38,0,15,164225,2058,37,0,10,204412,1687,18,0,15,190773,1483,62,0,0,260347,722,39,0,18,162623,1288,44,0,3
216890,978,42,0,4,210268,1258,58,0,15,217915,431,62,0,21,195674,1807,32,0,9,206116,656,46,0,10,234732,785,55,0,4,188230,628,15,0,11,212161,2620,69,0,12,230854,1117,20,0,7,232494,490,87,0,0
178304,1842,34,0,0,249870,986,34,0,13,166560,1662,41,0,0,214043,1250,44,0,21,148609,656,51,0,11,157169,877,46,0,17,196031,1676,31,0,0,263259,1500,56,0,10,206675,208,16,0,1,168279,1820,33,0,12
198237,1408,82,0,20,246542,1712,43,0,21,150545,574,38,0,1,166138,1519,29,0,11,196594,1328,62,0,3,268463,673,101,0,3,263258,1329,26,0,21,159861,1112,35,0,16,201054,1514,56,0,19,160641,1739,45,0,17
210822,435,32,0,18,154807,1005,27,0,22,224876,1580,50,0,16,216565,1118,240,0,12,237687,671,49,0,23,212492,963,81,0,0,224385,1145,31,0,3,203415,910,79,0,11,178637,1246,85,0,2,215304,537,82,0,4
201312,1534,31,0,9,229760,840,66,0,21,245694,1676,52,0,17,160834,1587,42,0,6,161464,691,39,0,2,178767,1112,40,0,18,160909,174,39,0,16,235780,1886,56,0,0,204544,1628,26,0,14,195424,785,19,0,11
197003,1677,19,0,33,158730,1327,55,0,0,189676,2227,43,0,10,229947,631,19,0,12,156115,1062,14,0,21,212509,2374,24,0,10,256525,549,39,0,11,229286,849,65,0,12,153260,1557,62,0,1,165758,1086,39,0,31
169842,1766,48,0,41,198627,792,105,0,2,255455,323,21,0,8,157301,1362,39,0,36,183094,2052,40,0,0,220659,539,76,0,8,147171,396,58,0,10,198452,1167,31,0,35,177485,1784,43,0,35,212823,1061,19,0,31
184978,1978,87,0,12,225438,1337,41,0,14,152087,801,38,0,10,193550,126,57,0,5,153458,2110,47,0,13,207204,1289,49,0,5,219393,543,46,0,10,220646,1343,44,0,0,253656,2048,26,0,10,144991,2318,43,0,5
145161,1329,37,0,3,145250,489,107,0,19,205281,764,21,0,10,154216,1634,30,0,19,198433,1296,35,0,0,265459,1232,34,0,10,151844,1082,31,0,9,229362,1384,27,0,7,214052,888,34,0,2,164331,775,78,0,11
254761,2430,31,0,20,260427,1514,41,0,12,191397,515,53,0,2,247031,1017,44,0,11,178487,1814,31,0,12,158310,962,75,0,20,160697,2568,37,0,11,187396,957,144,0,0,150402,1815,51,0,5,161726,1268,63,0,12
254252,730,35,0,0,237228,782,58,0,15,245135,1821,47,0,18,198373,1435,40,0,13,218223,178,41,0,10,232561,1737,41,0,9,159403,1384,78,0,15,217313,987,24,0,16,198515,1961,43,0,3,153674,665,19,0,10
179944,1626,31,0,17,263551,698,36,0,17,265089,2197,63,0,0,191853,1559,29,0,11,253906,448,46,0,16,261785,1598,37,0,13,257736,1291,39,0,17,150080,2161,35,0,1,219794,790,32,0,4,230896,1568,46,0,14
187791,1872,25,0,18,266895,429,83,0,5,213491,1174,37,0,17,221858,822,56,0,1,264827,1627,122,0,14,251546,1937,47,0,0,224856,1290,79,0,8,185268,641,40,0,17,260613,1650,41,0,11,227262,825,30,0,2
214394,847,58,0,19,264753,971,43,0,21,174367,1988,49,0,7,199100,1256,48,0,22,146309,1414,48,0,11,188298,554,72,0,7,235534,1017,41,0,17,251398,1268,70,0,0,234066,1336,61,0,22,238450,2109,35,0,6
238456,1783,37,0,12,213574,1832,54,0,0,161594,1068,59,0,20,162255,2198,36,0,5,216190,2126,37,0,15,247639,2571,22,0,3,195508,1801,31,0,11,195257,1987,37,0,13,245034,494,41,0,13,187338,2195,54,0,12
178016,1229,40,0,10,147157,1148,59,0,23,221047,1784,66,0,9,195243,2005,29,0,3,179563,1072,62,0,11,250701,1006,18,0,1,211492,1644,23,0,18,171918,1196,28,0,15,188646,2044,39,0,0,180240,1292,164,0,15
206883,603,65,0,0,263841,1695,25,0,23,152149,665,56,0,20,214393,1144,38,0,15,248783,2159,57,0,0,271277,696,40,0,15,203713,916,23,0,0,187799,676,51,0,10,194679,1038,21,0,22,221518,1747,24,0,13
157025,2454,27,0,3,271167,1667,42,0,6,271684,615,27,0,7,242734,1155,51,0,15,213019,1120,38,0,17,158212,1081,28,0,13,270590,1118,44,0,2,231257,549,127,0,1,147163,1391,23,0,0,201158,2017,47,0,7
264453,478,62,0,25,203848,1662,24,0,0,256602,997,21,0,20,220219,2140,24,0,21,264374,943,52,0,0,179508,1198,58,0,7,273396,716,50,0,3,150136,815,174,0,22,210451,1794,101,0,11,235798,1110,43,0,1
247928,927,23,0,4,149084,2569,27,0,10,242510,1347,122,0,3,215906,482,46,0,17,219230,2406,36,0,7,232433,1496,38,0,2,206173,1609,49,0,0,222012,1224,88,0,11,212512,2379,23,0,12,215166,809,33,0,10
250122,723,61,0,7,192607,987,30,0,15,249015,1736,14,0,0,197226,1602,25,0,5,197196,1900,43,0,14,237695,1521,41,0,1,270423,558,35,0,1,165368,790,55,0,10,152599,2540,48,0,9,203875,2021,27,0,10
155866,1169,44,0,0,156887,1563,37,0,3,224056,1792,25,0,10,201084,1261,57,0,12,185049,1995,35,0,29,208869,1922,29,0,18,157783,1964,51,0,27,255599,997,37,0,25,261877,1305,105,0,26,269283,1505,55,0,26
269764,1507,41,0,0,168129,1784,17,0,16,186749,1027,41,0,8,153480,1173,34,0,12,175160,418,43,0,28,259806,1197,17,0,23,235435,1150,14,0,25,196408,963,21,0,25,173947,2247,36,0,2,241104,430,198,0,23
271704,2185,58,0,6,250754,1875,73,0,4,264668,736,73,0,4,217834,1165,36,0,17,263461,865,56,0,0,150343,698,78,0,11,222587,830,40,0,12,204451,1563,26,0,9,210635,1435,26,0,2,153966,1773,46,0,14
237259,1060,26,0,26,234530,1609,63,0,0,158987,1192,39,0,6,227999,1511,16,0,4,152256,1840,32,0,26,168045,1086,54,0,11,261888,1440,20,0,0,170662,1171,27,0,24,227662,1798,41,0,24,177540,2399,19,0,10
187848,1007,40,0,28,274732,1601,51,0,0,160706,2544,31,0,31,154156,538,29,0,29,253382,1338,52,0,6,253064,1849,33,0,6,187170,1994,60,0,29,185570,1031,64,0,12,216129,711,46,0,3,208590,1644,36,0,13
207616,1812,25,0,6,262113,1467,35,0,23,254468,566,60,0,19,166908,1961,45,0,5,229939,363,26,0,0,205107,2281,72,0,10,242863,1118,58,0,10,212412,633,22,0,6,268399,1305,49,0,12,164624,369,81,0,4
253578,421,72,0,8,172651,2040,14,0,11,183396,1733,91,0,7,156690,829,32,0,0,232346,1264,21,0,12,193169,2129,75,0,1,190938,441,52,0,0,184104,1238,29,0,2,171050,1506,53,0,2,206041,1044,38,0,1
218595,1478,73,0,8,166190,2224,32,0,9,200129,2396,47,0,0,203714,912,25,0,7,224664,1926,37,0,8,184011,1225,86,0,7,231374,1369,159,0,8,253602,999,60,0,7,209316,1780,45,0,1,224832,2305,32,0,3
156198,1604,44,0,16,265602,1214,32,0,12,235129,2265,18,0,0,176182,1912,37,0,4,223496,584,42,0,16,272999,1791,22,0,0,269854,1138,35,0,3,159830,1146,49,0,5,216276,1462,89,0,9,254562,982,29,0,6
209659,1451,21,0,16,184500,251,55,0,17,266413,2174,65,0,7,204514,1949,31,0,10,250626,572,48,0,25,258692,1128,52,0,5,222854,1984,63,0,0,210609,1908,28,0,0,174782,441,35,0,9,219486,1293,17,0,7
216073,204,35,0,7,228211,2258,45,0,0,271271,687,42,0,0,238575,901,71,0,10,201378,1338,62,0,19,218474,858,62,0,1,204529,662,37,0,18,182449,1374,27,0,1,226662,1921,52,0,17,231194,1091,31,0,17
248870,675,25,0,10,204979,943,33,0,7,244547,1430,34,0,5,229370,1967,46,0,9,173161,1066,60,0,0,252340,1170,26,0,9,246770,725,46,0,1,265444,1564,71,0,9,214068,2583,16,0,9,262852,1063,34,0,10
159847,250,46,0,6,161675,1322,30,0,12,156404,1066,71,0,0,183292,1499,85,0,1,266808,2156,51,0,11,232451,886,48,0,6,150918,1525,62,0,9,183221,872,26,0,3,194244,1475,30,0,8,176693,1726,66,0,5
239813,784,34,0,0,228425,933,29,0,7,229092,1233,45,0,10,224764,382,46,0,11,163141,2117,96,0,15,150711,1341,40,0,4,259998,766,32,0,0,189695,1299,20,0,6,148817,958,42,0,14,232825,1539,48,0,8
153421,921,47,0,2,186655,937,39,0,3,237155,1914,31,0,15,200678,2189,31,0,6,267821,1214,26,0,12,179285,1119,21,0,11,278059,1579,24,0,7,254525,2474,25,0,4,200850,2146,24,0,6,227717,367,23,0,0
254268,1085,76,0,19,259687,995,33,0,23,229452,1405,65,0,22,233578,772,50,0,8,224818,1754,44,0,17,234303,1603,42,0,11,165041,1201,45,0,18,193565,1081,39,0,9,196069,1307,26,0,4,225766,1613,32,0,0
191666,429,77,0,2,276245,1054,36,0,8,250891,2469,35,0,10,159959,634,64,0,7,188280,1345,37,0,7,231173,942,57,0,3,207500,1199,59,0,9,213104,2111,60,0,6,243656,436,41,0,0,262537,1595,30,0,3
211180,1809,22,0,0,168537,906,26,0,19,234534,775,38,0,21,150213,1258,46,0,13,279667,623,35,0,7,189957,1291,39,0,1,238514,1508,59,0,2,231349,772,21,0,15,153342,776,46,0,3,236814,1166,37,0,0
157532,1853,17,0,5,253641,1287,78,0,17,275624,1130,24,0,16,268691,2064,43,0,18,246862,921,45,0,21,225144,1185,17,0,0,184328,2539,38,0,2,235608,1191,30,0,1,276960,1937,95,0,7,203564,1031,14,0,4
258602,1759,21,0,19,231790,1054,28,0,21,150694,1650,25,0,5,258026,1454,84,0,0,222030,588,56,0,1,219921,665,64,0,8,153920,276,48,0,3,230239,1925,48,0,3,278996,1666,49,0,19,179212,782,26,0,18
193872,1866,16,0,0,152494,1440,28,0,19,277331,473,25,0,15,162605,1173,52,0,21,240568,1109,29,0,17,175190,1363,58,0,12,195607,1519,26,0,6,158713,928,41,0,13,195178,1192,29,0,17,222940,641,21,0,11
213313,1642,21,0,0,170808,1453,43,0,12,169299,1006,61,0,12,224869,730,51,0,11,201549,1191,81,0,5,235483,685,93,0,7,255494,1167,58,0,3,217052,1731,35,0,1,248911,1449,17,0,6,248012,393,70,0,8
154585,853,25,0,17,200199,1320,24,0,21,280823,1485,51,0,10,150283,2471,41,0,15,252987,236,52,0,0,256931,1524,43,0,19,223097,1182,35,0,12,199085,1269,49,0,12,152289,1274,26,0,18,150939,984,16,0,7
228257,1137,31,0,1,229324,1686,100,0,19,252482,396,45,0,6,216149,1148,24,0,17,252074,120,37,0,18,281006,1189,37,0,17,152363,588,54,0,6,227508,2324,56,0,0,196304,177,27,0,17,196669,1442,20,0,16
269673,1842,38,0,0,232822,384,32,0,11,268452,2258,47,0,20,190061,503,50,0,12,156035,1154,40,0,20,268778,215,35,0,4,271766,693,61,0,13,244969,1909,82,0,5,217493,1354,25,0,17,235660,358,43,0,9
280716,843,97,0,7,239600,571,34,0,20,261485,2405,46,0,18,265369,1586,42,0,23,185523,749,40,0,5,210882,1833,42,0,0,235989,1911,27,0,5,186852,1291,30,0,8,169860,1489,47,0,7,247767,701,42,0,4
214047,1115,41,0,0,256795,1190,48,0,19,271591,1386,43,0,20,156829,1740,63,0,22,153871,1999,36,0,16,222585,1322,21,0,16,261029,600,53,0,15,165156,2188,19,0,16,265986,1227,62,0,22,176591,1742,60,0,20
248754,2442,31,0,17,279075,1162,35,0,6,210916,1855,91,0,18,228808,1489,89,0,0,260371,545,34,0,3,153130,2003,31,0,10,167579,1497,58,0,17,260465,698,74,0,17,276155,1622,53,0,8,210619,1275,53,0,3
231481,1128,60,0,26,188017,778,25,0,28,169851,1798,32,0,15,166556,1488,26,0,13,214037,848,86,0,9,169352,219,25,0,14,233607,2112,30,0,25,206305,732,24,0,16,246441,834,51,0,0,273031,962,71,0,27
152287,1482,47,0,11,225893,354,28,0,8,162944,2351,38,0,0,197286,965,38,0,4,173913,1768,49,0,5,229505,1349,63,0,2,240408,833,40,0,2,267012,1737,49,0,5,179253,591,60,0,4,162122,2254,66,0,5
244063,1165,17,0,21,212585,682,87,0,28,222793,878,62,0,20,269409,575,32,0,15,152828,2251,57,0,0,203287,886,20,0,16,189539,1490,44,0,28,269343,937,57,0,11,167266,404,56,0,10,153399,653,94,0,25
217126,1692,33,0,27,265858,301,36,0,7,227118,1260,30,0,24,259981,2387,31,0,25,183243,1536,36,0,5,204423,1097,19,0,0,181663,1564,17,0,16,262330,1230,66,0,0,246261,2512,36,0,20,231490,456,50,0,13
277788,1609,37,0,21,191511,429,83,0,1,198202,1498,17,0,28,267806,1124,78,0,32,201808,700,53,0,17,215806,2594,32,0,31,266649,236,32,0,19,166661,890,26,0,0,191347,335,49,0,27,227527,994,32,0,14
