nb_connexions_par_seconde
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
105
201
217
307
300
267
339
308
359
403
248
140
145
143
125
108
86
77
84
68
58
64
63
62
58
53
49
51
47
63
51
44
30
18
38
27
32
43
37
47
39
46
54
44
42
28
31
27
23
26
27
36
40
44
49
44
46
39
62
27
36
38
20
19
28
40
39
52
29
41
55
46
40
36
50
41
40
31
14
56
50
61
59
64
55
61
71
57
58
51
46
24
25
59
54
78
63
71
93
75
78
70
79
52
41
66
60
40
54
47
57
59
79
63
62
50
45
22
34
45
62
52
49
50
57
61
66
60
51
40
39
33
36
49
41
53
45
42
52
46
66
47
40
18
24
23
34
28
50
48
52
37
44
60
44
59
47
30
33
26
34
40
45
51
60
42
53
59
61
75
52
43
24
24
47
48
60
58
61
63
77
61
63
64
49
35
33
39
48
57
57
67
63
45
65
70
70
31
37
32
50
64
55
53
54
45
72
54
62
59
45
30
34
37
49
53
53
51
48
59
55
65
46
57
45
23
31
43
36
34
48
50
54
51
36
66
66
49
40
37
28
40
54
53
55
55
40
51
43
55
72
43
41
30
39
61
64
47
43
48
59
59
52
68
60
51
35
27
50
62
56
61
56
56
61
46
56
67
62
38
33
33
48
53
43
52
49
53
62
57
77
46
33
28
28
33
45
49
64
56
53
48
52
57
70
39
43
32
34
34
51
58
72
51
55
47
53
63
48
45
32
35
39
47
53
57
57
66
64
44
53
59
55
49
32
20
54
61
57
63
45
64
53
46
60
64
47
32
32
40
45
50
47
47
69
54
56
68
78
50
39
30
40
61
55
63
58
52
58
56
50
50
51
43
27
32
53
44
54
51
57
47
41
40
67
56
46
42
32
32
40
68
53
52
62
57
73
63
55
53
42
36
29
48
48
42
56
65
53
38
49
51
71
48
39
22
36
53
51
41
68
50
57
61
60
51
58
57
38
30
39
52
37
55
68
65
54
74
49
59
51
43
41
35
36
34
48
50
47
62
60
70
52
57
52
49
32
23
35
46
51
59
58
47
49
50
74
55
41
40
32
27
49
40
59
56
47
42
60
60
69
61
42
34
28
25
45
46
49
44
62
47
45
60
61
55
42
34
28
26
33
46
54
55
55
60
67
65
63
60
52
38
36
25
47
57
59
47
66
47
71
63
43
65
64
36
34
27
34
36
63
55
43
55
52
73
61
53
45
47
35
34
41
54
43
49
56
53
58
40
57
59
49
33
18
31
47
61
52
49
51
56
60
54
53
44
47
31
26
40
34
49
58
62
53
55
58
63
74
50
41
45
33
47
45
53
65
54
59
61
66
48
73
41
31
32
32
64
49
58
45
68
58
80
65
67
57
42
32
20
68
48
49
53
49
63
50
46
65
70
50
30
30
34
39
45
45
56
50
52
52
69
68
42
43
31
29
37
46
46
49
53
59
54
42
51
49
51
36
34
30
29
42
47
64
53
49
63
47
44
60
49
53
34
23
28
41
48
48
45
56
60
56
46
55
59
50
40
31
30
49
25
64
64
42
52
57
49
58
58
43
42
31
17
59
58
57
53
54
58
71
54
71
56
49
38
34
38
53
47
51
42
54
62
63
75
62
53
34
41
34
40
45
55
47
51
47
56
55
67
46
48
41
36
42
34
50
50
43
62
47
57
58
60
69
43
42
33
37
38
47
45
46
58
53
56
47
71
63
55
30
34
34
57
45
65
45
47
43
50
59
54
56
44
27
34
36
42
56
58
48
51
47
64
58
66
70
31
35
22
29
41
44
65
43
61
56
36
71
64
56
39
46
33
38
52
58
71
42
55
49
55
58
65
52
29
32
39
57
44
58
66
66
58
48
55
58
35
44
29
41
36
56
46
56
56
59
52
66
69
60
39
29
34
30
48
48
45
58
48
56
53
56
65
57
46
36
39
23
47
56
48
50
67
47
60
61
62
63
45
31
30
38
45
62
59
47
53
51
53
67
61
42
36
33
37
30
42
61
55
56
58
48
57
53
64
49
30
32
21
44
63
58
41
52
66
44
64
52
51
40
35
33
22
38
46
57
61
54
50
57
54
65
57
40
41
32
39
42
69
49
63
45
57
48
57
53
58
36
33
46
32
42
40
44
53
52
57
51
62
62
34
44
32
27
30
49
50
53
53
62
52
70
59
47
54
39
33
26
38
