nb_connexions_par_seconde
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
20
206
237
286
316
343
343
389
437
462
503
381
390
395
392
388
399
379
420
444
421
394
401
417
413
414
392
396
421
436
415
418
432
417
424
415
395
384
416
431
424
423
422
408
391
388
447
458
398
399
428
373
427
382
428
421
432
395
401
428
401
392
420
449
429
397
395
424
400
391
392
427
411
407
423
453
397
432
438
394
404
431
410
414
405
404
407
392
405
395
411
402
402
403
407
405
376
381
424
434
408
399
382
437
403
431
409
392
389
417
405
434
385
446
412
342
494
405
397
444
444
418
383
380
438
413
404
435
368
398
414
414
418
394
400
390
394
419
364
399
433
395
442
430
421
379
401
390
388
432
416
406
436
382
394
407
419
418
407
397
441
408
410
391
400
470
413
370
436
398
418
429
415
442
387
418
409
395
437
408
414
367
424
426
420
420
414
399
403
404
402
404
402
400
394
419
402
438
414
366
410
414
420
384
397
421
428
420
407
420
416
406
410
405
399
399
402
387
418
402
401
404
426
435
387
398
412
421
433
373
399
435
416
395
437
383
404
406
417
403
393
412
336
331
300
270
210
169
128
77
43
4
0
0
0
0
0
0
0
0
0
0
0
0
0
0
